pubid,avg_earn_2014_to_2018,hgc_ever,asvab,female,black,hispanic
222,73967.39739180112,15.0,621.97,0,0,1
223,0.0,16.0,879.23,0,0,1
224,15914.333294347149,12.0,377.6,1,0,0
225,61790.86443840662,12.0,549.75,0,0,0
226,10858.858211101524,14.0,71.13,1,1,0
228,86481.97026357536,16.0,296.31,0,0,0
229,58243.89570637138,16.0,860.33,1,0,0
230,111926.00819069253,16.0,621.22,0,0,1
232,100840.84918087903,16.0,430.85,0,0,1
235,63244.23582247305,16.0,608.88,1,0,0
236,47422.64236247658,15.0,769.36,1,0,1
237,88784.08155632991,16.0,587.82,0,0,0
238,0.0,16.0,799.82,1,0,0
241,102567.38047242298,20.0,515.04,1,0,1
242,106368.24564381359,20.0,451.99,0,0,1
243,17425.111467103517,12.0,298.04,1,0,0
244,59581.16685068756,13.0,106.87,0,0,1
245,74575.38518627758,20.0,722.48,1,0,0
246,126683.39971939447,20.0,897.76,0,0,1
247,90024.96507457196,16.0,864.19,0,0,0
248,88448.5763986059,16.0,876.11,1,0,0
251,112711.8123464093,17.0,564.95,0,0,1
252,90289.04857462579,18.0,635.05,1,0,1
254,82669.01637369394,16.0,582.24,0,0,0
255,139120.73035363827,16.0,844.56,1,0,0
258,61157.85315580902,18.0,423.66,0,0,0
259,134441.8856678407,16.0,530.11,0,0,0
260,49583.83544681976,16.0,180.85,0,1,0
261,41636.620554143505,12.0,148.64,0,1,0
262,11486.86992905802,11.0,93.88,0,1,0
263,0.0,9.0,337.6,0,1,0
264,49772.73103669218,18.0,575.23,0,0,0
265,56013.99460270931,13.0,106.21,0,0,1
267,36454.15331446664,17.0,913.28,1,0,0
268,114641.98354555294,14.0,364.54,0,0,1
270,17994.679321253952,13.0,753.82,1,0,0
271,23321.34917330724,10.0,150.74,1,0,0
272,407.6908541194255,10.0,182.96,1,0,1
278,54527.071745082125,12.0,635.05,0,0,0
281,61973.23486404787,12.0,537.68,0,1,0
282,27563.498981844397,12.0,208.77,0,0,0
283,53987.56462623252,15.0,726.92,0,0,0
284,36331.44804713835,14.0,97.99,1,1,0
285,107099.81934673601,12.0,286.24,0,0,0
287,78718.13743546644,12.0,182.11,0,0,0
288,72643.7734925185,14.0,345.39,1,0,0
289,0.0,13.0,522.0,1,0,0
290,46547.40593483875,12.0,391.22,1,0,0
291,0.0,11.0,449.91,1,0,0
292,71931.23347428672,15.0,566.3,1,1,0
293,104990.95753049006,16.0,897.41,1,0,1
294,275869.5597660602,18.0,645.8,0,0,1
296,27899.03635175365,16.0,102.56,1,0,1
298,60600.3173152671,14.0,952.18,1,0,0
299,48684.56430695953,13.0,185.66,0,0,0
301,86035.74872783033,20.0,42.16,1,0,0
303,57149.2751414314,16.0,560.44,1,0,0
304,117087.71763134944,19.0,800.9,0,0,0
305,80636.34876486025,20.0,402.45,1,0,0
306,58452.99376862638,18.0,622.35,1,0,0
307,119406.65058469138,20.0,882.83,1,0,0
309,40953.40811044003,16.0,274.26,1,0,0
311,82249.40558149811,16.0,733.69,0,0,0
312,0.0,18.0,805.07,1,0,0
313,19844.415836113785,16.0,963.28,1,0,0
315,32503.27890309948,12.0,348.05,1,0,0
321,122333.73503331037,12.0,707.77,0,0,0
322,72956.64606392021,19.0,557.36,1,0,0
323,159801.54175357745,15.0,884.13,0,0,0
325,46537.96376186368,18.0,366.85,0,0,0
326,142716.4222030486,16.0,354.63,1,0,0
329,35071.79626117583,16.0,617.51,0,0,0
332,104527.77346779371,20.0,983.68,0,0,0
333,41913.21925058455,14.0,431.1,1,0,0
334,93691.30939660179,16.0,672.41,1,0,0
335,55819.626753437755,16.0,818.33,1,0,0
336,86236.75938728594,20.0,484.16,0,1,0
337,144252.3958322032,16.0,732.43,0,0,0
338,0.0,19.0,831.23,1,0,0
339,67268.9909297052,16.0,694.03,1,0,0
340,129378.2426036814,20.0,237.65,0,0,0
341,62632.494021833896,17.0,614.81,0,0,0
346,23579.234972677594,13.0,250.49,0,0,1
362,44479.03974351849,13.0,591.87,1,0,1
363,39083.23858687776,14.0,511.07,1,0,1
366,27092.144326950725,18.0,452.32,1,0,1
367,27338.446119403776,14.0,473.94,0,0,1
368,41304.511875916636,14.0,104.79,1,0,1
372,47158.46994535519,12.0,236.33,0,0,1
373,45612.14333892249,12.0,79.15,1,0,1
375,0.0,12.0,971.17,0,1,0
382,50390.36385513868,18.0,480.82,1,0,0
385,330.936631195475,14.0,140.09,0,0,1
386,112199.78130848419,15.0,369.62,0,0,1
387,18630.1475882813,11.0,117.38,1,0,1
388,6115.362811791383,9.0,116.76,1,0,1
392,56772.63588086729,16.0,951.43,0,0,1
393,31595.074828698052,17.0,266.58,0,0,1
394,102279.37723286949,17.0,852.33,0,0,1
396,56020.103386325216,17.0,604.88,0,0,0
